model,kW,price,subsidy_normal,subsidy_long
S224ATES-W,2.2,60500,9000,20000
CS-224DFL-W,2.2,57200,9000,20000
S284ATES-W,2.8,75900,10000,30000
S404ATGP-W,4,528000,23000,70000
AS-V224R,2.2,82500,15000,50000
AS-V254R,2.5,90750,18000,60000
S405ATRP-W,4,638000,23000,70000
S284ATMS-W,2.8,462000,10000,30000
S284ATGS-W,2.8,451000,18000,60000
S565ATAP-W,5.6,660000,23000,40000
AY-S28DG,2.8,142582,10000,30000
S365ATRS-W,3.6,605000,23000,70000
S405ATAP-W,4,594000,23000,70000
S565ATRP-W,5.6,693000,23000,40000
MSZ-FZV4025S-W,4,638000,23000,70000
RAS-MJ22R-W,2.2,352000,9000,20000
S364ATGS-W,3.6,495000,23000,40000
AS-V284R,2.8,99000,18000,60000
CS-285DJ-W,2.8,264000,10000,30000
CS-255DJ-W,2.5,242000,10000,30000
AY-S40X2-W,4,318303,23000,70000
AY-S56X2-W,5.6,348658,23000,40000
AY-S63X2-W,6.3,370379,23000,40000
AY-S22E-W,2.2,153165,9000,20000
AY-S25E-W,2.5,163189,10000,30000
AY-S28E-W,2.8,184076,10000,30000
S285ATES-W,2.8,114400,10000,30000
CS-285DFL-W,2.8,103807,10000,30000
CS-255DFL-W,2.5,94182,10000,30000
CS-225DFL-W,2.2,83875,9000,20000
CS-285DJ-W,2.8,264000,10000,30000
CS-255DJ-W,2.5,242000,10000,30000
CS-225DJ-W,2.2,220000,9000,20000
CS-285DGX-W,2.8,374000,10000,30000
CS-255DGX-W,2.5,319000,10000,30000
CS-225DGX-W,2.2,286000,9000,20000
CS-285DEX-W,2.8,418000,10000,30000
CS-224DLX-W,2.2,550000,15000,50000
CS-284DLX-W,2.8,594000,18000,60000
CS-254DLX-W,2.5,572000,18000,60000
CS-285DEX-W,2.8,418000,10000,30000
CS-225DGX-W,2.2,286000,9000,20000
CS-255DGX-W,2.5,319000,10000,30000
CS-285DGX-W,2.8,374000,10000,30000
CS-225DJ-W,2.2,220000,9000,20000
CS-255DJ-W,2.5,242000,10000,30000
CS-285DJ-W,2.8,264000,10000,30000
CS-225DFL-W,2.2,83875,9000,20000
CS-255DFL-W,2.5,94182,10000,30000
CS-285DFL-W,2.8,103807,10000,30000
S285ATES-W,2.8,114400,10000,30000
AY-S28E-W,2.8,184076,10000,30000
AY-S25E-W,2.5,163189,10000,30000
AY-S22E-W,2.2,153165,9000,20000
AY-S63X2-W,6.3,370379,23000,40000
AY-S56X2-W,5.6,348658,23000,40000
AY-S40X2-W,4,318303,23000,70000
AY-S36X-W,3.6,307165,23000,70000
AS-X565S2-W,5.6,305182,23000,40000
AS-X285S-W,2.8,234756,18000,60000
S255ATES-W,2.5,103400,10000,30000
